ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG	COGID	ALIGNMENT	STRUCTURE	ORIGINAL_ALIGNMENT	ORIGINAL_TOKENS	ORIGINAL_STRUCTURE
2610	Cacaopera	I	jami	jami	j a m		1413	457	j a m	C V C	j a m i	j a m i	C V C V
2611	Mayangna	I	jaŋ	jaŋ	j a ŋ		1413	457	j a ŋ	C V C	j a ŋ -	j a ŋ	C V C
2613	Miskito	I	jaŋ	jaŋ	j a ŋ		1413	457	j a ŋ	C V C	j a ŋ -	j a ŋ	C V C
2612	Ulwa	I	jaŋ	jaŋ	j a ŋ		1413	457	j a ŋ	C V C	j a ŋ -	j a ŋ	C V C
2626	Arhuaco	I	nən	nən	n ə n		1414	458	n ə n	C V C	n ə n -	n ə n	C V C
2631	Bari	I	nãĩ	nãĩ	n ã		1414	458	n ã -	C V	n ã - ĩ	n ã ĩ	C V V
2618	Bribri	I	dʒěʔ	dʒěʔ	dʒ ě/e ʔ		1414	458	dʒ ě/e ʔ	C V C	dʒ ě/e ʔ -	dʒ ě/e ʔ	C V C
2622	Buglere	I	tʃa	tʃa	tʃ a		1414	458	tʃ a -	C V	tʃ a - -	tʃ a	C V
2619	Cabecar	I	dʒís	dʒís	dʒ í/i s		1414	458	dʒ í/i s	C V C	dʒ í/i s -	dʒ í/i s	C V C
2628	Chimila	I	na:ɾi	na:ɾi	n aː ɾ		1414	458	n aː ɾ	C V C	n aː ɾ i	n aː ɾ i	C V C V
2625	Cogui	I	nas	nas	n a s		1414	458	n a s	C V C	n a s -	n a s	C V C
2627	Malayo	I	ɾa	ɾa	ɾ		1414	458	- - ɾ	C	- - ɾ a	ɾ a	C V
2616	MalekuJaika	I	ton	ton	t o n		1414	458	t o n	C V C	t o n -	t o n	C V C
2614	Pech	I	tas	tas	t a s		1414	458	t a s	C V C	t a s -	t a s	C V C
2615	Rama	I	na:s	na:s	n aː s		1414	458	n aː s	C V C	n aː s -	n aː s	C V C
2617	Boruca	I	át	át	á/a t		1415	459	á/a t -	V C	- á/a t -	á/a t	V C
2630	CentralTunebo	I	'asa	'asa	'a/a s a		1415	459	'a/a s a	V C V	- 'a/a s a	'a/a s a	V C V
2629	Chibcha	I	hɨtʲa	hɨtʲa	ɨ tʲ a		1415	459	ɨ tʲ a	V C V	h ɨ tʲ a	h ɨ tʲ a	C V C V
2624	SanBlasKuna	I	ani	ani	a n i		1415	459	a n i	V C V	- a n i	a n i	V C V
499	Arhuaco	ash	'bunzəga	'bunzəga	'b/b u z		270	605	'b/b u z	C V C	- - 'b/b - u n z ə g a	'b/b u n z ə g a	C V C C V C V
504	Bari	ash	ibũdɪ̃	ibũdɪ̃	b		270	605	b - -	C	- i b - - - - ũ d ɪ̃	i b ũ d ɪ̃	V C V C V
490	Boruca	ash	bɾùŋ	bɾùŋ	b ù/u ŋ		270	605	b ù/u ŋ	C V C	- - b ɾ ù/u - ŋ - - -	b ɾ ù/u ŋ	C C V C
491	Bribri	ash	buɺṹ	buɺṹ	b u ɺ		270	605	b u ɺ	C V C	- - b - u - ɺ - - ṹ/ũ	b u ɺ ṹ/ũ	C V C V
495	Buglere	ash	mnu	mnu	u		270	605	- u -	V	m - - n u - - - - -	m n u	C C V
492	Cabecar	ash	buɺi᷅tú	buɺi᷅tú	b u ɺ		270	605	b u ɺ	C V C	- - b - u - ɺ i᷅/i t ú/u	b u ɺ i᷅/i t ú/u	C V C V C V
