ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG	COGID	ALIGNMENT	STRUCTURE
2610	Cacaopera	I	jami	jami	j a m i		1413	457	j a m i	C V C V
2611	Mayangna	I	jaŋ	jaŋ	j a ŋ		1413	457	j a ŋ -	C V C
2613	Miskito	I	jaŋ	jaŋ	j a ŋ		1413	457	j a ŋ -	C V C
2612	Ulwa	I	jaŋ	jaŋ	j a ŋ		1413	457	j a ŋ -	C V C
2626	Arhuaco	I	nən	nən	n ə n		1414	458	n ə n -	C V C
2631	Bari	I	nãĩ	nãĩ	n ã ĩ		1414	458	n ã - ĩ	C V V
2618	Bribri	I	dʒěʔ	dʒěʔ	dʒ ě/e ʔ		1414	458	dʒ ě/e ʔ -	C V C
2622	Buglere	I	tʃa	tʃa	tʃ a		1414	458	tʃ a - -	C V
2619	Cabecar	I	dʒís	dʒís	dʒ í/i s		1414	458	dʒ í/i s -	C V C
2628	Chimila	I	na:ɾi	na:ɾi	n aː ɾ i		1414	458	n aː ɾ i	C V C V
2625	Cogui	I	nas	nas	n a s		1414	458	n a s -	C V C
2627	Malayo	I	ɾa	ɾa	ɾ a		1414	458	- - ɾ a	C V
2616	MalekuJaika	I	ton	ton	t o n		1414	458	t o n -	C V C
2614	Pech	I	tas	tas	t a s		1414	458	t a s -	C V C
2615	Rama	I	na:s	na:s	n aː s		1414	458	n aː s -	C V C
2617	Boruca	I	át	át	á/a t		1415	459	- á/a t -	V C
2630	CentralTunebo	I	'asa	'asa	'a/a s a		1415	459	- 'a/a s a	V C V
2629	Chibcha	I	hɨtʲa	hɨtʲa	h ɨ tʲ a		1415	459	h ɨ tʲ a	C V C V
2624	SanBlasKuna	I	ani	ani	a n i		1415	459	- a n i	V C V
499	Arhuaco	ash	'bunzəga	'bunzəga	'b/b u n z ə g a		270	605	- - 'b/b - u n z ə g a	C V C C V C V
504	Bari	ash	ibũdɪ̃	ibũdɪ̃	i b ũ d ɪ̃		270	605	- i b - - - - ũ d ɪ̃	V C V C V
490	Boruca	ash	bɾùŋ	bɾùŋ	b ɾ ù/u ŋ		270	605	- - b ɾ ù/u - ŋ - - -	C C V C
491	Bribri	ash	buɺṹ	buɺṹ	b u ɺ ṹ/ũ		270	605	- - b - u - ɺ - - ṹ/ũ	C V C V
495	Buglere	ash	mnu	mnu	m n u		270	605	m - - n u - - - - -	C C V
492	Cabecar	ash	buɺi᷅tú	buɺi᷅tú	b u ɺ i᷅/i t ú/u		270	605	- - b - u - ɺ i᷅/i t ú/u	C V C V C V
503	CentralTunebo	ash	'buɾa	'buɾa	'b/b u ɾ a		270	605	- - 'b/b - u - ɾ - - a	C V C V
502	Chibcha	ash	βuskɨ	βuskɨ	β u s k ɨ		270	605	- - β - u - s - k ɨ	C V C C V
501	Chimila	ash	'buhŋaʔ	'buhŋaʔ	'b/b u h ŋ a ʔ		270	605	- - 'b/b - u h ŋ a ʔ -	C V C C V C
498	Cogui	ash	'muli	'muli	'm/m u l i		270	605	'm/m u - l i - - - - -	C V C V
496	Dorasque	ash	bulku	bulku	b u l k u		270	605	- - b - u - l - k u	C V C C V
481	LencaSalvador	ash	pilil	pilil	p i l i l		270	605	- - p - i - l i l -	C V C V C
500	Malayo	ash	bɨn	bɨn	b ɨ n		270	605	- - b - ɨ - n - - -	C V C
489	MalekuJaika	ash	puɾu:	puɾu:	p u ɾ uː		270	605	- - p - u - ɾ - - uː	C V C V
494	Ngabere	ash	ŋɯbɾɯ	ŋɯbɾɯ	ŋ ɯ b ɾ ɯ		270	605	ŋ ɯ b ɾ ɯ - - - - -	C V C C V
488	Rama	ash	pluŋ	pluŋ	p l u ŋ		270	605	- - p l u - ŋ - - -	C C V C
497	SanBlasKuna	ash	puɾu	puɾu	p u ɾ u		270	605	- - p - u - ɾ - - u	C V C V
493	Teribe	ash	ɸɺúŋ	ɸɺúŋ	ɸ ɺ ú/u ŋ		270	605	- - ɸ ɺ ú/u - ŋ - - -	C C V C
858	Arhuaco	at	ekɨ	ekɨ	e k ɨ		437	789	e k ɨ - -	V C V
849	Boruca	at	kà	kà	k à/a		437	789	- k à/a - -	C V
857	Cogui	at	ka	ka	k a		437	789	- k a - -	C V
855	Dorasque	at	ga	ga	g a		437	789	- g a - -	C V
840	LencaSalvador	at	k'ati	k'ati	k 'a/a t i		437	789	- k 'a/a t i	C V C V
859	Malayo	at	ka	ka	k a		437	789	- k a - -	C V
848	MalekuJaika	at	ko	ko	k o		437	789	- k o - -	C V
843	Mayangna	at	kat	kat	k a t		437	789	- k a t -	C V C
847	Rama	at	ka	ka	k a		437	789	- k a - -	C V
844	Ulwa	at	kat	kat	k a t		437	789	- k a t -	C V C
854	Buglere	at	ske	ske	s k e		441	794	s k e	C C V
851	Cabecar	at	skà	skà	s k à/a		441	794	s k à/a	C C V
852	Teribe	at	ʃkò	ʃkò	ʃ k ò/o		441	794	ʃ k ò/o	C C V
863	Bari	at	aki	aki	a k i		443	796	a k i	V C V
861	Chibcha	at	na	na	n a		443	796	- n a	C V
856	SanBlasKuna	at	ki	ki	k i		443	796	- k i	C V
627	Cacaopera	bark (of tree)	kuta	kuta	k u t a		346	689	k u t a -	C V C V
628	Mayangna	bark (of tree)	utak	utak	u t a k		346	689	- u t a k	V C V C
629	Ulwa	bark (of tree)	utak	utak	u t a k		346	689	- u t a k	V C V C
634	Boruca	bark (of tree)	kuáʔs	kuáʔs	k u á/a ʔ s		349	692	- - - k - u - á/a ʔ s	C V V C C
635	Bribri	bark (of tree)	axkuʊ́	axkuʊ́	a x k u ʊ́/ʊ		349	692	- a x k - u - ʊ́/ʊ - -	V C C V V
