ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	ALIGNMENT	STRUCTURE
5971	Apuri	ash	utrpa	utrpa	u ʈ p a		2	u ʈ - p a	V C C V
5972	Apurimac	ash	uspa	uspa	u s p a		2	u s - p a	V C C V
5974	Atalla	ash	učpa	učpa	u tʃ p a		2	u tʃ - p a	V C C V
5975	Ayacucho	ash	uchpa	uchpa	u tʃ p a		2	u tʃ - p a	V C C V
7243	Azuay	ash	uchupa	uchupa	u tʃ u p a		2	u tʃ u p a	V C V C V
5978	Chachapoyas	ash	uĉpa	uĉpa	u ʈʂ p a		2	u ʈʂ - p a	V C C V
5979	Chacpar	ash	učpa	učpa	u tʃ p a		2	u tʃ - p a	V C C V
5980	Chetilla	ash	uŝpa	uŝpa	u ʂ p a		2	u ʂ - p a	V C C V
5985	Huallaga	ash	učpa	učpa	u tʃ p a		2	u tʃ - p a	V C C V
5988	Huangascar	ash	utrpa	utrpa	u ʈ p a		2	u ʈ - p a	V C C V
5989	HuarazHuailas	ash	uchpa	uchpa	u tʃ p a		2	u tʃ - p a	V C C V
5990	Imbabura	ash	uchufa	uchufa	u tʃ u f a		2	u tʃ u f a	V C V C V
5991	Inkawasi	ash	uĉpa	uĉpa	u ʈʂ p a		2	u ʈʂ - p a	V C C V
7328	Jauja	ash	utrpa	utrpa	u ʈʂ p a		2	u ʈʂ - p a	V C C V
5998	Maragua	ash	ušpha	ušpha	u ʃ pʰ a		2	u ʃ - pʰ a	V C C V
5999	Napo	ash	ushpa	ushpa	u ʃ p a		2	u ʃ - p a	V C C V
6000	Pacaraos	ash	utrpa	utrpa	u ʈʂ p a		2	u ʈʂ - p a	V C C V
6004	Puno	ash	uspha	uspha	u s pʰ a		2	u s - pʰ a	V C C V
6008	Santiagueno	ash	ushpa	ushpa	u ʃ p a		2	u ʃ - p a	V C C V
6016	Yanac	ash	učpa	učpa	u tʃ p a		2	u tʃ - p a	V C C V
3727	Apuri	back	washa	washa	w a ʃ a		615	w a ʃ a	C V C V
3728	Apurimac	back	wasa	wasa	w a s a		615	w a s a	C V C V
3729	Atalla	back	wasa	wasa	w a s a		615	w a s a	C V C V
3730	Ayacucho	back	wasa	wasa	w a s a		615	w a s a	C V C V
7203	Azuay	back	huasha	huasha	w a ʃ a		615	w a ʃ a	C V C V
3733	Chachapoyas	back	washa	washa	w a ʃ a		615	w a ʃ a	C V C V
3743	Huangascar	back	washa	washa	w a ʃ a		615	w a ʃ a	C V C V
3745	Imbabura	back	washa	washa	w a ʃ a		615	w a ʃ a	C V C V
7329	Jauja	back	waŝa	waŝa	w a ʂ a		615	w a ʂ a	C V C V
