ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG	COGID	ALIGNMENT	STRUCTURE	ORIGINAL_ALIGNMENT	ORIGINAL_TOKENS	ORIGINAL_STRUCTURE
2074	Amharic	Saturday	ќɨdame1	ќɨdame	ќ/kʼ ɨ d a m e		448	388	ќ/kʼ ɨ d a - - - m - e -	0 V C V C V	ќ/kʼ ɨ d a - - - - m - e -	ќ/kʼ ɨ d a m e	0 V C V C V
2094	Chaha	Saturday	ќǝťansǝnbǝt1	ќǝťansǝnbǝt	ќ/kʼ ə ť/tʼ a n s ə n b ə t		448	388	ќ/kʼ ə ť/tʼ a n s ə n b ə t	0 V 0 V C C V C C V C	ќ/kʼ ə ť/tʼ a n - s ə n b ə t	ќ/kʼ ə ť/tʼ a n s ə n b ə t	0 V 0 V C C V C C V C
2114	Ezha	Saturday	ќǝťansǝnbǝt1	ќǝťansǝnbǝt	ќ/kʼ ə ť/tʼ a n s ə n b ə t		448	388	ќ/kʼ ə ť/tʼ a n s ə n b ə t	0 V 0 V C C V C C V C	ќ/kʼ ə ť/tʼ a n - s ə n b ə t	ќ/kʼ ə ť/tʼ a n s ə n b ə t	0 V 0 V C C V C C V C
2124	Geez	Saturday	ќǝdamitsǝnbǝt1	ќǝdamitsǝnbǝt	ќ/kʼ ə d a m ts ə n b ə t		448	388	ќ/kʼ ə d a m ts ə n b ə t	0 V C V C C V C C V C	ќ/kʼ ə d a m i ts ə n b ə t	ќ/kʼ ə d a m i ts ə n b ə t	0 V C V C V C V C C V C
2134	Gogot	Saturday	ќɨdansǝnbǝt1	ќɨdansǝnbǝt	ќ/kʼ ɨ d a n s ə n b ə t		448	388	ќ/kʼ ɨ d a n s ə n b ə t	0 V C V C C V C C V C	ќ/kʼ ɨ d a n - s ə n b ə t	ќ/kʼ ɨ d a n s ə n b ə t	0 V C V C C V C C V C
2144	Gumer	Saturday	ќǝtasǝnbǝt1	ќǝtasǝnbǝt	ќ/kʼ ə t a s ə n b ə t		448	388	ќ/kʼ ə t a - s ə n b ə t	0 V C V C V C C V C	ќ/kʼ ə t a - - s ə n b ə t	ќ/kʼ ə t a s ə n b ə t	0 V C V C V C C V C
2154	Gura	Saturday	ќǝťansǝnbǝt1	ќǝťansǝnbǝt	ќ/kʼ ə ť/tʼ a n s ə n b ə t		448	388	ќ/kʼ ə ť/tʼ a n s ə n b ə t	0 V 0 V C C V C C V C	ќ/kʼ ə ť/tʼ a n - s ə n b ə t	ќ/kʼ ə ť/tʼ a n s ə n b ə t	0 V 0 V C C V C C V C
2164	Gyeto	Saturday	ќǝťatsǝmbǝt1	ќǝťatsǝmbǝt	ќ/kʼ ə ť/tʼ a ts ə m b ə t		448	388	ќ/kʼ ə ť/tʼ a - ts ə m b ə t	0 V 0 V C V C C V C	ќ/kʼ ə ť/tʼ a - - ts ə m b ə t	ќ/kʼ ə ť/tʼ a ts ə m b ə t	0 V 0 V C V C C V C
2184	Inor	Saturday	ќǝťansǝnbǝt1	ќǝťansǝnbǝt	ќ/kʼ ə ť/tʼ a n s ə n b ə t		448	388	ќ/kʼ ə ť/tʼ a n s ə n b ə t	0 V 0 V C C V C C V C	ќ/kʼ ə ť/tʼ a n - s ə n b ə t	ќ/kʼ ə ť/tʼ a n s ə n b ə t	0 V 0 V C C V C C V C
2194	Kistane	Saturday	kɨdansǝnbǝt1	kɨdansǝnbǝt	k ɨ d a n s ə n b ə t		448	388	k ɨ d a n s ə n b ə t	C V C V C C V C C V C	k ɨ d a n - s ə n b ə t	k ɨ d a n s ə n b ə t	C V C V C C V C C V C
2204	Mesqan	Saturday	kɨdansǝnbǝt1	kɨdansǝnbǝt	k ɨ d a n s ə n b ə t		448	388	k ɨ d a n s ə n b ə t	C V C V C C V C C V C	k ɨ d a n - s ə n b ə t	k ɨ d a n s ə n b ə t	C V C V C C V C C V C
2214	Muher	Saturday	kǝdansǝnbǝt1	kǝdansǝnbǝt	k ə d a n s ə n b ə t		448	388	k ə d a n s ə n b ə t	C V C V C C V C C V C	k ə d a n - s ə n b ə t	k ə d a n s ə n b ə t	C V C V C C V C C V C
2254	Tigrigna	Saturday	qǝdam1	qǝdam	q ə d a m		448	388	q ə d a - - - m - - -	C V C V C	q ə d a - - - - m - - -	q ə d a m	C V C V C
2084	Argobba	Saturday	sǝmbǝd2	sǝmbǝd	s ə m b ə d		456	397	s ə m b ə d	C V C C V C	- - - - s ə m b ə d - - - - -	s ə m b ə d	C V C C V C
2174	Harari	Saturday	sǝbti2	sǝbti	s ə b t		456	397	s ə - b - t	C V C C	- - - - s ə - b - t - - - i -	s ə b t i	C V C C V
2224	Oromo	Saturday	sanbata2	sanbata	s a n b a t		456	397	s a n b a t	C V C C V C	- - - - s a n b a t - - - a -	s a n b a t a	C V C C V C V
2234	Silte	Saturday	ansǝnbǝt2	ansǝnbǝt	s ə n b ə t		456	397	s ə n b ə t	C V C C V C	- a n - s ə n b ə t - - - - -	a n s ə n b ə t	V C C V C C V C
2244	Tigre	Saturday	sǝnbǝt nɨʔɨš2	sǝnbǝt nɨʔɨš	s ə n b ə t		456	397	s ə n b ə t	C V C C V C	- - - - s ə n b ə t n ɨ ʔ ɨ ʃ	s ə n b ə t n ɨ ʔ ɨ ʃ	C V C C V C C V C V C
2264	Wolane	Saturday	ʔansǝnbǝt2	ʔansǝnbǝt	s ə n b ə t		456	397	s ə n b ə t	C V C C V C	ʔ a n - s ə n b ə t - - - - -	ʔ a n s ə n b ə t	C V C C V C C V C
2274	Zway	Saturday	ʔanǝsǝnbǝt2	ʔanǝsǝnbǝt	s ə n b ə t		456	397	s ə n b ə t	C V C C V C	ʔ a n ə s ə n b ə t - - - - -	ʔ a n ə s ə n b ə t	C V C V C V C C V C
1	Amharic	added	dǝmmǝrǝ1	dǝmmǝrǝ	d ə mː ə r ə		1	1	d ə mː ə r ə	C V C V C V	d ə mː ə r ə -	d ə mː ə r ə	C V C V C V
11	Argobba	added	ćemmǝra1	ćemmǝra	ć/tʃʼ e mː ə r a		1	1	ć/tʃʼ e mː ə r a	0 V C V C V	ć/tʃʼ e mː ə r a -	ć/tʃʼ e mː ə r a	0 V C V C V
