ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG	COGID	ALIGNMENT	STRUCTURE
3	Amami	I	waɴ	w.a.ɴ	w a ɴ		1	6	w a ɴ -	C V C
5	Hachijo	I	ware	w.a.r.e	w a r e		1	6	w a r e	C V C V
1	Miyako	I	ban	b.a.n	b a n		1	6	b a n -	C V C
6	Shuri	I	waɴ	w.a.ɴ	w a ɴ		1	6	w a ɴ -	C V C
7	Kochi	I	asi	a.s.i	a s i		2	116	- a s - - i	V C V
4	Kyoto	I	wate	w.a.t.e	w a t e		2	116	w a t - - e	C V C V
2	Tokyo	I	watasi	w.a.t.a.s.i	w a t a s i		2	116	w a t a s i	C V C V C V
1959	Amami	alive (live)	ʔikiʨuri	ʔ.i.k.i.ʨ.u.r.i	ʔ i k i tɕ u r i		455	398	ʔ i k i tɕ u r i	C V C V C V C V
1961	Hachijo	alive (live)	ikite	i.k.i.t.e	i k i t e		455	398	- i k i t e - -	V C V C V
1966	Kagoshima	alive (live)	ikiːʨːo	i.k.iː.ʨː.o	i k iː tɕː o		455	398	- i k iː tɕː o - -	V C V C V
1963	Kochi	alive (live)	ikitʲuː	i.k.i.tʲ.uː	i k i tʲ uː		455	398	- i k i tʲ uː - -	V C V C V
1960	Kyoto	alive (live)	ikiteru	i.k.i.t.e.r.u	i k i t e r u		455	398	- i k i t e r u	V C V C V C V
1965	Oki	alive (live)	ekeʨoru	e.k.e.ʨ.o.r.u	e k e tɕ o r u		455	398	- e k e tɕ o r u	V C V C V C V
1964	Sado	alive (live)	ikitoru	i.k.i.t.o.r.u	i k i t o r u		455	398	- i k i t o r u	V C V C V C V
1962	Shuri	alive (live)	ʔiʨiʦoːɴ	ʔ.i.ʨ.i.ʦ.oː.ɴ	ʔ i tɕ i ts oː ɴ		455	398	ʔ i tɕ i ts oː ɴ -	C V C V C V C
1958	Tokyo	alive (live)	ikiteru	i.k.i.t.e.r.u	i k i t e r u		455	398	- i k i t e r u	V C V C V C V
85	Hachijo	all	miɴna	m.i.ɴ.n.a	m i ɴ n a		24	161	m i ɴ n a	C V C C V
87	Kochi	all	miɴna	m.i.ɴ.n.a	m i ɴ n a		24	161	m i ɴ n a	C V C C V
84	Kyoto	all	miɴna	m.i.ɴ.n.a	m i ɴ n a		24	161	m i ɴ n a	C V C C V
81	Miyako	all	mːna	mː.n.a	mː n a		24	161	mː - - n a	C C V
89	Oki	all	ɴːna	ɴː.n.a	ɴː n a		24	161	- - ɴː n a	C C V
88	Sado	all	miɴna	m.i.ɴ.n.a	m i ɴ n a		24	161	m i ɴ n a	C V C C V
86	Shuri	all	ɴna	ɴ.n.a	ɴ n a		24	161	- - ɴ n a	C C V
82	Tokyo	all	miɴna	m.i.ɴ.n.a	m i ɴ n a		24	161	m i ɴ n a	C V C C V
1272	Hachijo	arm	ude	u.d.e	u d e		289	214	u d e	V C V
1274	Kochi	arm	ude	u.d.e	u d e		289	214	u d e	V C V
1268	Miyako	arm	udi	u.d.i	u d i		289	214	u d i	V C V
1276	Oki	arm	ode	o.d.e	o d e		289	214	o d e	V C V
1275	Sado	arm	ude	u.d.e	u d e		289	214	u d e	V C V
1269	Tokyo	arm	ude	u.d.e	u d e		289	214	u d e	V C V
1277	Kagoshima	arm	te	t.e	t e		290	216	t e	C V
1271	Kyoto	arm	teː	t.eː	t eː		290	216	t eː	C V
1273	Shuri	arm	tiː	t.iː	t iː		290	216	t iː	C V
822	Amami	ash	hwe	h.w.e	h w e		185	100	h w e - -	C C V
824	Hachijo	ash	hia	h.ia	h i a		185	100	h - i - a	C V V
829	Kagoshima	ash	hei	h.ei	h e i		185	100	h - e - i	C V V
826	Kochi	ash	hai	h.ai	h a i		185	100	h - a - i	C V V
823	Kyoto	ash	hai	h.ai	h a i		185	100	h - a - i	C V V
820	Miyako	ash	pazɨ	p.a.z.ɨ	p a z ɨ		185	100	- p a z ɨ	C V C V
828	Oki	ash	ɸeː	ɸ.eː	ɸ eː		185	100	- ɸ eː - -	C V
827	Sado	ash	hai	h.ai	h a i		185	100	h - a - i	C V V
825	Shuri	ash	hweː	h.w.eː	h w eː		185	100	h w eː - -	C C V
821	Tokyo	ash	hai	h.ai	h a i		185	100	h - a - i	C V V
1399	Amami	at	naɴθɨ	n.a.ɴ.θ.ɨ	n a ɴ θ ɨ		313	242	n a ɴ θ ɨ	C V C C V
1401	Hachijo	at	de	d.e	d e		313	242	- - - d e	C V
1406	Kagoshima	at	de	d.e	d e		313	242	- - - d e	C V
1403	Kochi	at	de	d.e	d e		313	242	- - - d e	C V
1400	Kyoto	at	de	d.e	d e		313	242	- - - d e	C V
1405	Oki	at	de	d.e	d e		313	242	- - - d e	C V
1404	Sado	at	de	d.e	d e		313	242	- - - d e	C V
1402	Shuri	at	uti	u.t.i	u t i		313	242	- u - t i	V C V
1398	Tokyo	at	de	d.e	d e		313	242	- - - d e	C V
1257	Kagoshima	back	senaka	s.e.n.a.k.a	s e n a k a		283	208	s e n a k a	C V C V C V
1254	Kochi	back	senaka	s.e.n.a.k.a	s e n a k a		283	208	s e n a k a	C V C V C V
1251	Kyoto	back	senaka	s.e.n.a.k.a	s e n a k a		283	208	s e n a k a	C V C V C V
1256	Oki	back	sena	s.e.n.a	s e n a		283	208	s e n - - a	C V C V
1255	Sado	back	senaka	s.e.n.a.k.a	s e n a k a		283	208	s e n a k a	C V C V C V
1249	Tokyo	back	senaka	s.e.n.a.k.a	s e n a k a		283	208	s e n a k a	C V C V C V
1643	Amami	bad	kusareθa	k.u.s.a.r.e.θ.a	k u s a r e θ a		379	313	k u s a r e θ a -	C V C V C V C V
1645	Hachijo	bad	kusarua	k.u.s.a.r.ua	k u s a r u a		379	313	k u s a r u - a -	C V C V C V V
1650	Kagoshima	bad	kesːareta	k.e.sː.a.r.e.t.a	k e sː a r e t a		379	313	k e sː a r e t a -	C V C V C V C V
1647	Kochi	bad	kusatːa	k.u.s.a.tː.a	k u s a tː a		379	313	k u s a tː a - - -	C V C V C V
1644	Kyoto	bad	kusatːa	k.u.s.a.tː.a	k u s a tː a		379	313	k u s a tː a - - -	C V C V C V
1641	Miyako	bad	fusaritam	f.u.s.a.r.i.t.a.m	f u s a r i t a m		379	313	f u s a r i t a m	C V C V C V C V C
1649	Oki	bad	kusatːa	k.u.s.a.tː.a	k u s a tː a		379	313	k u s a tː a - - -	C V C V C V
1648	Sado	bad	kusatːa	k.u.s.a.tː.a	k u s a tː a		379	313	k u s a tː a - - -	C V C V C V
1646	Shuri	bad	kuʦːoːru	k.u.ʦː.oː.r.u	k u tsː oː r u		379	313	k u tsː oː r u - - -	C V C V C V
1642	Tokyo	bad	kusatːa	k.u.s.a.tː.a	k u s a tː a		379	313	k u s a tː a - - -	C V C V C V
235	Hachijo	bark (of tree)	kua	k.ua	k u a		65	423	k u - a	C V V
240	Kagoshima	bark (of tree)	kawa	k.a.w.a	k a w a		65	423	k a w a	C V C V
237	Kochi	bark (of tree)	kawa	k.a.w.a	k a w a		65	423	k a w a	C V C V
234	Kyoto	bark (of tree)	kawa	k.a.w.a	k a w a		65	423	k a w a	C V C V
231	Miyako	bark (of tree)	kaː	k.aː	k aː		65	423	k aː - -	C V
239	Oki	bark (of tree)	kawa	k.a.w.a	k a w a		65	423	k a w a	C V C V
238	Sado	bark (of tree)	kawa	k.a.w.a	k a w a		65	423	k a w a	C V C V
236	Shuri	bark (of tree)	kaː	k.aː	k aː		65	423	k aː - -	C V
232	Tokyo	bark (of tree)	kawa	k.a.w.a	k a w a		65	423	k a w a	C V C V
484	Amami	belly	waθa	w.a.θ.a	w a θ a		113	21	w a θ a	C V C V
482	Miyako	belly	bata	b.a.t.a	b a t a		113	21	b a t a	C V C V
487	Shuri	belly	wata	w.a.t.a	w a t a		113	21	w a t a	C V C V
486	Hachijo	belly	hara	h.a.r.a	h a r a		111	19	h a r a	C V C V
491	Kagoshima	belly	hara	h.a.r.a	h a r a		111	19	h a r a	C V C V
488	Kochi	belly	hara	h.a.r.a	h a r a		111	19	h a r a	C V C V
