ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG	COGID	ALIGNMENT	STRUCTURE	ORIGINAL_ALIGNMENT	ORIGINAL_TOKENS	ORIGINAL_STRUCTURE
1529	Beijing	I	我	wo²¹⁴	w o ²¹⁴		267	291	w o ²¹⁴	C V T	- w o ²¹⁴	w o ²¹⁴	C V T
1516	Changsha	I	我	ŋo⁴¹	ŋ o ⁴¹		267	291	ŋ o ⁴¹	C V T	- ŋ o ⁴¹	ŋ o ⁴¹	C V T
1525	Chengdu	I	我	ŋo⁵³	ŋ o ⁵³		267	291	ŋ o ⁵³	C V T	- ŋ o ⁵³	ŋ o ⁵³	C V T
1523	Guangzhou	I	我	ŋɔ²³	ŋ ɔ ²³		267	291	ŋ ɔ ²³	C V T	- ŋ ɔ ²³	ŋ ɔ ²³	C V T
1517	Guixian	I	我	ŋo⁴²	ŋ o ⁴²		267	291	ŋ o ⁴²	C V T	- ŋ o ⁴²	ŋ o ⁴²	C V T
1522	Hangzhou	I	我	ŋo⁵³	ŋ o ⁵³		267	291	ŋ o ⁵³	C V T	- ŋ o ⁵³	ŋ o ⁵³	C V T
1519	Hefei	I	我	ʊ²⁴	ʊ ²⁴		267	291	- ʊ ²⁴	V T	- - ʊ ²⁴	ʊ ²⁴	V T
1520	Jinan	I	我	və⁵⁵	v ə ⁵⁵		267	291	v ə ⁵⁵	C V T	- v ə ⁵⁵	v ə ⁵⁵	C V T
1530	Kunming	I	我	o⁵³	o ⁵³		267	291	- o ⁵³	V T	- - o ⁵³	o ⁵³	V T
1524	Nanchang	I	我	ŋo²¹³	ŋ o ²¹³		267	291	ŋ o ²¹³	C V T	- ŋ o ²¹³	ŋ o ²¹³	C V T
1531	Shanghai	I	我	ŋu¹³	ŋ u ¹³		267	291	ŋ u ¹³	C V T	- ŋ u ¹³	ŋ u ¹³	C V T
1526	Taiyuan	I	我	ɣɤ⁵³	ɤ ⁵³		267	291	- ɤ ⁵³	V T	ɣ - ɤ ⁵³	ɣ ɤ ⁵³	C V T
1518	Xiamen	I	我	gwa⁵³	w a ⁵³		267	291	w a ⁵³	C V T	g w a ⁵³	g w a ⁵³	C C V T
1921	Changsha	a while	听一下下子	xa¹¹xaʦɿ	x a ¹¹		655	600	x a ¹¹	C V T	x - a - ¹¹ x a ts ɿ -	x a ¹¹ x a ts ɿ	C V T C V C V
1933	Chengdu	a while	听下儿	xər⁵⁵	x ə ⁵⁵		655	600	x ə ⁵⁵	C V T	x - ə r ⁵⁵ - - - - -	x ə r ⁵⁵	C V C T
1923	Guixian	a while	听一下	xa²¹³	x a ²¹³		655	600	x a ²¹³	C V T	x - a - ²¹³ - - - - -	x a ²¹³	C V T
1930	Hangzhou	a while	听一歇儿	ɕjəʔ⁵əl	ɕ ə ⁵		655	600	ɕ ə ⁵	C V T	ɕ j ə ʔ ⁵ - ə - l -	ɕ j ə ʔ ⁵ ə l	C C V C T V C
1928	Hefei	a while	听一霎子	ʂɐʔ⁵	ʂ ɐ ⁵		655	600	ʂ ɐ ⁵	C V T	ʂ - ɐ ʔ ⁵ - - - - -	ʂ ɐ ʔ ⁵	C V C T
1929	Jinan	a while	听一会儿	xwer²¹	x e ²¹		655	600	x e ²¹	C V T	x w e r ²¹ - - - - -	x w e r ²¹	C C V C T
1937	Kunming	a while	听一小下	xᴀ²¹²	x ᴀ/a̱ ²¹²		655	600	x ᴀ/a̱ ²¹²	C V T	x - ᴀ/a̱ - ²¹² - - - - -	x ᴀ/a̱ ²¹²	C V T
1920	Meixian	a while	听一下	ha⁵³	h a ⁵³		655	600	h a ⁵³	C V T	h - a - ⁵³ - - - - -	h a ⁵³	C V T
1932	Nanchang	a while	听一下子	ha²¹ʦɿ⁰²	h a ²¹		655	600	h a ²¹	C V T	h - a - ²¹ ts ɿ - - ⁰²/¹²	h a ²¹ ts ɿ ⁰²/¹²	C V T C V T
1938	Shanghai	a while	听一歇	ɕjɪʔ⁵	ɕ ɪ ⁵		655	600	ɕ ɪ ⁵	C V T	ɕ j ɪ ʔ ⁵ - - - - -	ɕ j ɪ ʔ ⁵	C C V C T
1935	Shexian	a while	听一下儿	xã	x ã		655	600	x ã -	C V	x - ã - - - - - - -	x ã	C V
1931	Guangzhou	a while	听一阵	ʦɐn²²	ts ɐ n ²²		580	540	ts ɐ n ²²	C V C T	ts ɐ n ²² - - - -	ts ɐ n ²²	C V C T
1922	Guixian	a while	听一阵	ʦen²¹³	ts e n ²¹³		580	540	ts e n ²¹³	C V C T	ts e n ²¹³ - - - -	ts e n ²¹³	C V C T
1934	Taiyuan	a while	听一阵阵	ʦəŋ⁴⁵ʦəŋ⁴⁵	ts ə ŋ ⁴⁵		580	540	ts ə ŋ ⁴⁵	C V C T	ts ə ŋ ⁴⁵ ts ə ŋ ⁴⁵	ts ə ŋ ⁴⁵ ts ə ŋ ⁴⁵	C V C T C V C T
2465	Chengdu	and	同	tʰoŋ³¹	tʰ o ŋ ³¹		301	317	tʰ o ŋ ³¹	C V C T	tʰ o ŋ ³¹	tʰ o ŋ ³¹	C V C T
2457	Guangzhou	and	同	tʰoŋ²¹	tʰ o ŋ ²¹		301	317	tʰ o ŋ ²¹	C V C T	tʰ o ŋ ²¹	tʰ o ŋ ²¹	C V C T
2456	Hangzhou	and	同	doŋ²¹³	d o ŋ ²¹³		301	317	d o ŋ ²¹³	C V C T	d o ŋ ²¹³	d o ŋ ²¹³	C V C T
2444	Meixian	and	同	tʰuŋ¹¹	tʰ u ŋ ¹¹		301	317	tʰ u ŋ ¹¹	C V C T	tʰ u ŋ ¹¹	tʰ u ŋ ¹¹	C V C T
2470	Beijing	and	跟	kən⁵⁵	k ə n ⁵⁵		863	772	k ə n ⁵⁵	C V C T	k - ə n ⁵⁵	k ə n ⁵⁵	C V C T
2445	Changsha	and	跟	kən³³	k ə n ³³		863	772	k ə n ³³	C V C T	k - ə n ³³	k ə n ³³	C V C T
2464	Chengdu	and	跟	kən⁵⁵	k ə n ⁵⁵		863	772	k ə n ⁵⁵	C V C T	k - ə n ⁵⁵	k ə n ⁵⁵	C V C T
2451	Hefei	and	跟	kən²¹	k ə n ²¹		863	772	k ə n ²¹	C V C T	k - ə n ²¹	k ə n ²¹	C V C T
2453	Jinan	and	跟	kẽ²¹³	k ẽ ²¹³		863	772	k ẽ - ²¹³	C V T	k - ẽ - ²¹³	k ẽ ²¹³	C V T
2461	Nanchang	and	跟	kjɛn⁴²	k ɛ n ⁴²		863	772	k ɛ n ⁴²	C V C T	k j ɛ n ⁴²	k j ɛ n ⁴²	C C V C T
2467	Taiyuan	and	跟	kəŋ¹¹	k ə ŋ ¹¹		863	772	k ə ŋ ¹¹	C V C T	k - ə ŋ ¹¹	k ə ŋ ¹¹	C V C T
2469	Beijing	and	和	xɤ³⁵	x ɤ ³⁵		323	333	x ɤ ³⁵	C V T	x - ɤ ³⁵	x ɤ ³⁵	C V T
2463	Chengdu	and	和	xo³¹	x o ³¹		323	333	x o ³¹	C V T	x - o ³¹	x o ³¹	C V T
2446	Guixian	and	和	xo²¹	x o ²¹		323	333	x o ²¹	C V T	x - o ²¹	x o ²¹	C V T
2452	Jinan	and	和	xə⁴²	x ə ⁴²		323	333	x ə ⁴²	C V T	x - ə ⁴²	x ə ⁴²	C V T
2466	Taiyuan	and	和	xwɤ¹¹	x ɤ ¹¹		323	333	x ɤ ¹¹	C V T	x w ɤ ¹¹	x w ɤ ¹¹	C C V T
2455	Hangzhou	and	搭	tɑʔ⁵	t ɑ ʔ ⁵		385	390	t ɑ ʔ ⁵	C V C T	t ɑ ʔ ⁵	t ɑ ʔ ⁵	C V C T
2472	Kunming	and	搭	tᴀ³¹	t ᴀ/a̱ ³¹		385	390	t ᴀ/a̱ - ³¹	C V T	t ᴀ/a̱ - ³¹	t ᴀ/a̱ ³¹	C V T
2473	Shanghai	and	搭	taʔ⁵	t a ʔ ⁵		385	390	t a ʔ ⁵	C V C T	t a ʔ ⁵	t a ʔ ⁵	C V C T
2468	Shexian	and	搭	taʔ²¹	t a ʔ ²¹		385	390	t a ʔ ²¹	C V C T	t a ʔ ²¹	t a ʔ ²¹	C V C T
2459	Guangzhou	and	帮	pɔŋ⁵⁵	p ɔ ŋ ⁵⁵		1071	61	p ɔ ŋ ⁵⁵	C V C T	p ɔ ŋ ⁵⁵	p ɔ ŋ ⁵⁵	C V C T
1424	Beijing	become sick	病了	piŋ⁵¹lə¹	p i ŋ ⁵¹ l ə ¹		141	193	p i ŋ ⁵¹ l ə ¹	C V C T C V T	- - - - p - i ŋ ⁵¹ l - ə - - - ¹	p i ŋ ⁵¹ l ə ¹	C V C T C V T
1418	Chengdu	become sick	病了	pin¹³no⁵³	p i n ¹³ n o ⁵³		141	193	p i n ¹³ n o ⁵³	C V C T C V T	- - - - p - i n ¹³ n - o - - - ⁵³	p i n ¹³ n o ⁵³	C V C T C V T
1403	Guixian	become sick	生病了	sen⁵⁵pin²¹³əw²¹³	p i n ²¹³ ə ²¹³		141	193	p i n ²¹³ - ə ²¹³	C V C T V T	s e n ⁵⁵ p - i n ²¹³ - - ə w - - ²¹³	s e n ⁵⁵ p i n ²¹³ ə w ²¹³	C V C T C V C T V C T
