ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG	COGID	ALIGNMENT	STRUCTURE
1529	Beijing	I	我	wo²¹⁴	w o ²¹⁴		267	291	- w o ²¹⁴	C V T
1516	Changsha	I	我	ŋo⁴¹	ŋ o ⁴¹		267	291	- ŋ o ⁴¹	C V T
1525	Chengdu	I	我	ŋo⁵³	ŋ o ⁵³		267	291	- ŋ o ⁵³	C V T
1523	Guangzhou	I	我	ŋɔ²³	ŋ ɔ ²³		267	291	- ŋ ɔ ²³	C V T
1517	Guixian	I	我	ŋo⁴²	ŋ o ⁴²		267	291	- ŋ o ⁴²	C V T
1522	Hangzhou	I	我	ŋo⁵³	ŋ o ⁵³		267	291	- ŋ o ⁵³	C V T
1519	Hefei	I	我	ʊ²⁴	ʊ ²⁴		267	291	- - ʊ ²⁴	V T
1520	Jinan	I	我	və⁵⁵	v ə ⁵⁵		267	291	- v ə ⁵⁵	C V T
1530	Kunming	I	我	o⁵³	o ⁵³		267	291	- - o ⁵³	V T
1524	Nanchang	I	我	ŋo²¹³	ŋ o ²¹³		267	291	- ŋ o ²¹³	C V T
1531	Shanghai	I	我	ŋu¹³	ŋ u ¹³		267	291	- ŋ u ¹³	C V T
1526	Taiyuan	I	我	ɣɤ⁵³	ɣ ɤ ⁵³		267	291	ɣ - ɤ ⁵³	C V T
1518	Xiamen	I	我	gwa⁵³	g w a ⁵³		267	291	g w a ⁵³	C C V T
1921	Changsha	a while	听一下下子	xa¹¹xaʦɿ	x a ¹¹ x a ts ɿ		655	600	x - a - ¹¹ x a ts ɿ -	C V T C V C V
1933	Chengdu	a while	听下儿	xər⁵⁵	x ə r ⁵⁵		655	600	x - ə r ⁵⁵ - - - - -	C V C T
1923	Guixian	a while	听一下	xa²¹³	x a ²¹³		655	600	x - a - ²¹³ - - - - -	C V T
1930	Hangzhou	a while	听一歇儿	ɕjəʔ⁵əl	ɕ j ə ʔ ⁵ ə l		655	600	ɕ j ə ʔ ⁵ - ə - l -	C C V C T V C
1928	Hefei	a while	听一霎子	ʂɐʔ⁵	ʂ ɐ ʔ ⁵		655	600	ʂ - ɐ ʔ ⁵ - - - - -	C V C T
1929	Jinan	a while	听一会儿	xwer²¹	x w e r ²¹		655	600	x w e r ²¹ - - - - -	C C V C T
1937	Kunming	a while	听一小下	xᴀ²¹²	x ᴀ/a̱ ²¹²		655	600	x - ᴀ/a̱ - ²¹² - - - - -	C V T
1920	Meixian	a while	听一下	ha⁵³	h a ⁵³		655	600	h - a - ⁵³ - - - - -	C V T
1932	Nanchang	a while	听一下子	ha²¹ʦɿ⁰²	h a ²¹ ts ɿ ⁰²/¹²		655	600	h - a - ²¹ ts ɿ - - ⁰²/¹²	C V T C V T
1938	Shanghai	a while	听一歇	ɕjɪʔ⁵	ɕ j ɪ ʔ ⁵		655	600	ɕ j ɪ ʔ ⁵ - - - - -	C C V C T
1935	Shexian	a while	听一下儿	xã	x ã		655	600	x - ã - - - - - - -	C V
1931	Guangzhou	a while	听一阵	ʦɐn²²	ts ɐ n ²²		580	540	ts ɐ n ²² - - - -	C V C T
1922	Guixian	a while	听一阵	ʦen²¹³	ts e n ²¹³		580	540	ts e n ²¹³ - - - -	C V C T
1934	Taiyuan	a while	听一阵阵	ʦəŋ⁴⁵ʦəŋ⁴⁵	ts ə ŋ ⁴⁵ ts ə ŋ ⁴⁵		580	540	ts ə ŋ ⁴⁵ ts ə ŋ ⁴⁵	C V C T C V C T
2465	Chengdu	and	同	tʰoŋ³¹	tʰ o ŋ ³¹		301	317	tʰ o ŋ ³¹	C V C T
2457	Guangzhou	and	同	tʰoŋ²¹	tʰ o ŋ ²¹		301	317	tʰ o ŋ ²¹	C V C T
2456	Hangzhou	and	同	doŋ²¹³	d o ŋ ²¹³		301	317	d o ŋ ²¹³	C V C T
2444	Meixian	and	同	tʰuŋ¹¹	tʰ u ŋ ¹¹		301	317	tʰ u ŋ ¹¹	C V C T
2470	Beijing	and	跟	kən⁵⁵	k ə n ⁵⁵		863	772	k - ə n ⁵⁵	C V C T
2445	Changsha	and	跟	kən³³	k ə n ³³		863	772	k - ə n ³³	C V C T
2464	Chengdu	and	跟	kən⁵⁵	k ə n ⁵⁵		863	772	k - ə n ⁵⁵	C V C T
2451	Hefei	and	跟	kən²¹	k ə n ²¹		863	772	k - ə n ²¹	C V C T
2453	Jinan	and	跟	kẽ²¹³	k ẽ ²¹³		863	772	k - ẽ - ²¹³	C V T
2461	Nanchang	and	跟	kjɛn⁴²	k j ɛ n ⁴²		863	772	k j ɛ n ⁴²	C C V C T
2467	Taiyuan	and	跟	kəŋ¹¹	k ə ŋ ¹¹		863	772	k - ə ŋ ¹¹	C V C T
2469	Beijing	and	和	xɤ³⁵	x ɤ ³⁵		323	333	x - ɤ ³⁵	C V T
2463	Chengdu	and	和	xo³¹	x o ³¹		323	333	x - o ³¹	C V T
2446	Guixian	and	和	xo²¹	x o ²¹		323	333	x - o ²¹	C V T
2452	Jinan	and	和	xə⁴²	x ə ⁴²		323	333	x - ə ⁴²	C V T
2466	Taiyuan	and	和	xwɤ¹¹	x w ɤ ¹¹		323	333	x w ɤ ¹¹	C C V T
2455	Hangzhou	and	搭	tɑʔ⁵	t ɑ ʔ ⁵		385	390	t ɑ ʔ ⁵	C V C T
2472	Kunming	and	搭	tᴀ³¹	t ᴀ/a̱ ³¹		385	390	t ᴀ/a̱ - ³¹	C V T
2473	Shanghai	and	搭	taʔ⁵	t a ʔ ⁵		385	390	t a ʔ ⁵	C V C T
2468	Shexian	and	搭	taʔ²¹	t a ʔ ²¹		385	390	t a ʔ ²¹	C V C T
2459	Guangzhou	and	帮	pɔŋ⁵⁵	p ɔ ŋ ⁵⁵		1071	61	p ɔ ŋ ⁵⁵	C V C T
1424	Beijing	become sick	病了	piŋ⁵¹lə¹	p i ŋ ⁵¹ l ə ¹		141	193	- - - - p - i ŋ ⁵¹ l - ə - - - ¹	C V C T C V T
1418	Chengdu	become sick	病了	pin¹³no⁵³	p i n ¹³ n o ⁵³		141	193	- - - - p - i n ¹³ n - o - - - ⁵³	C V C T C V T
1403	Guixian	become sick	生病了	sen⁵⁵pin²¹³əw²¹³	s e n ⁵⁵ p i n ²¹³ ə w ²¹³		141	193	s e n ⁵⁵ p - i n ²¹³ - - ə w - - ²¹³	C V C T C V C T V C T
1425	Kunming	become sick	病了	pĩ²¹²lə⁵³	p ĩ ²¹² l ə ⁵³		141	193	- - - - p - ĩ - ²¹² l - ə - - - ⁵³	C V T C V T
1417	Nanchang	become sick	病了	pʰjɑŋ²¹ljɛwiɛu⁰²	pʰ j ɑ ŋ ²¹ l j ɛ w i ɛu ⁰²/¹²		141	193	- - - - pʰ j ɑ ŋ ²¹ l j ɛ w i ɛu ⁰²/¹²	C C V C T C C V C V V T
1407	Hefei	become sick	不好过	pəʔ⁵xɔ²⁴kʊ⁵³	p ə ʔ ⁵ x ɔ ²⁴ k ʊ ⁵³		579	539	p ə ʔ ⁵ x ɔ ²⁴ k ʊ ⁵³	C V C T C V T C V T
1413	Jinan	become sick	不好	pu²¹³xɔ	p u ²¹³ x ɔ		579	539	p u - ²¹³ x ɔ - - - -	C V T C V
1426	Kunming	become sick	不好了	pu³¹xɔ⁵³lə⁵³	p u ³¹ x ɔ ⁵³ l ə ⁵³		579	539	p u - ³¹ x ɔ ⁵³ l ə ⁵³	C V T C V T C V T
1423	Shexian	become sick	不好过	pu²¹xɔ³⁵ko	p u ²¹ x ɔ ³⁵ k o		579	539	p u - ²¹ x ɔ ³⁵ k o -	C V T C V T C V
459	Beijing	bedbug	臭虫	t͡ʂʰow⁵¹t͡ʂʰuŋ¹	ʈʂʰ o w ⁵¹ ʈʂʰ u ŋ ¹		1064	54	ʈʂʰ o w ⁵¹ ʈʂʰ u ŋ ¹	C V C T C V C T
446	Changsha	bedbug	臭虫	t͡ʂʰəw⁵⁵t͡ʂoŋ¹³	ʈʂʰ ə w ⁵⁵ ʈʂ o ŋ ¹³		1064	54	ʈʂʰ ə w ⁵⁵ ʈʂ o ŋ ¹³	C V C T C V C T
455	Chengdu	bedbug	臭虫	ʦʰəw¹³ʦʰoŋ³¹	tsʰ ə w ¹³ tsʰ o ŋ ³¹		1064	54	tsʰ ə w ¹³ tsʰ o ŋ ³¹	C V C T C V C T
448	Guixian	bedbug	臭虫	ʦʰəw²¹³ʦʰoŋ²¹	tsʰ ə w ²¹³ tsʰ o ŋ ²¹		1064	54	tsʰ ə w ²¹³ tsʰ o ŋ ²¹	C V C T C V C T
452	Hangzhou	bedbug	臭虫	ʦʰej⁴⁴⁵ʣoŋ²¹³	tsʰ e j ⁴⁴⁵ dz o ŋ ²¹³		1064	54	tsʰ e j ⁴⁴⁵ dz o ŋ ²¹³	C V C T C V C T
450	Hefei	bedbug	臭虫	t͡ʂʰɯ⁵³t͡ʂʰəŋ	ʈʂʰ ɯ ⁵³ ʈʂʰ ə ŋ		1064	54	ʈʂʰ ɯ - ⁵³ ʈʂʰ ə ŋ -	C V T C V C
451	Jinan	bedbug	臭虫	t͡ʂʰow²¹t͡ʂʰuŋ⁴²	ʈʂʰ o w ²¹ ʈʂʰ u ŋ ⁴²		1064	54	ʈʂʰ o w ²¹ ʈʂʰ u ŋ ⁴²	C V C T C V C T
454	Nanchang	bedbug	臭虫	ʦʰɨw²¹³ʦʰuŋ⁰⁴	tsʰ ɨ w ²¹³ tsʰ u ŋ ⁰⁴/¹⁴		1064	54	tsʰ ɨ w ²¹³ tsʰ u ŋ ⁰⁴/¹⁴	C V C T C V C T
461	Shanghai	bedbug	臭虫	ʦʰɤ³⁵zoŋ²³	tsʰ ɤ ³⁵ z o ŋ ²³		1064	54	tsʰ ɤ - ³⁵ z o ŋ ²³	C V T C V C T
447	Changsha	bedbug	香姑娘	ɕjan³³ku³³ȵjan¹³	ɕ j a n ³³ k u ³³ ɲ j a n ¹³		461	449	ɕ j a n ³³ k u ³³ ɲ j a n ¹³ - - -	C C V C T C V T C C V C T
453	Guangzhou	bedbug	木虱	mok²sɐt⁵	m o k ² s ɐ t ⁵		601	556	m o k ² s ɐ t ⁵	C V C T C V C T
457	Shexian	bedbug	木虱	mɔ²²seʔ²¹	m ɔ ²² s e ʔ ²¹		601	556	m ɔ - ²² s e ʔ ²¹	C V T C V C T
449	Xiamen	bedbug	木虱	bat⁵sat³²	b a t ⁵ s a t ³²		601	556	b a t ⁵ s a t ³²	C V C T C V C T
460	Kunming	bedbug	壁虱	pi³¹sə³¹	p i ³¹ s ə ³¹		988	885	p - i - ³¹ s ə - ³¹	C V T C V T
458	Shexian	bedbug	壁虱	pi²¹seʔ²¹	p i ²¹ s e ʔ ²¹		988	885	p - i - ²¹ s e ʔ ²¹	C V T C V C T
456	Taiyuan	bedbug	壁虱	pjəʔ²səʔ²	p j ə ʔ ² s ə ʔ ²		988	885	p j ə ʔ ² s ə ʔ ²	C C V C T C V C T
1354	Guixian	beggar	叫化子	ʨjaoiao²¹³xwa²¹³ʦɿ⁴²	tɕ j a o i a o ²¹³ x w a ²¹³ ts ɿ ⁴²		363	371	tɕ j a o i a o ²¹³ x w a ²¹³ ts ɿ ⁴²	C C V V V V V T C C V T C V T
1360	Hangzhou	beggar	叫化子	ʨjɔ⁴⁴⁵hwɑ⁴⁴⁵ʦɿ⁵³	tɕ j ɔ ⁴⁴⁵ h w ɑ ⁴⁴⁵ ts ɿ ⁵³		363	371	tɕ j ɔ - - - - ⁴⁴⁵ h w ɑ ⁴⁴⁵ ts ɿ ⁵³	C C V T C C V T C V T
1374	Shanghai	beggar	叫化子	kɔ³⁵ho³⁵ʦɿ³⁵	k ɔ ³⁵ h o ³⁵ ts ɿ ³⁵		363	371	k - - - - - ɔ ³⁵ h - o ³⁵ ts ɿ ³⁵	C V T C V T C V T
1370	Beijing	beggar	要饭的	jɑwiɑu⁵¹fan⁵¹tə¹	j ɑ w i ɑ u ⁵¹ f a n ⁵¹ t ə ¹		376	382	j ɑ w i ɑ u ⁵¹ f a n ⁵¹ t ə - ¹	C V C V V V T C V C T C V T
1364	Chengdu	beggar	要饭的	jawiau¹³fan¹³ni⁵⁵	j a w i a u ¹³ f a n ¹³ n i ⁵⁵		376	382	j a w i a u ¹³ f a n ¹³ n i - ⁵⁵	C V C V V V T C V C T C V T
1355	Guixian	beggar	要饭的	jaoiao²¹³fan²¹³lɛ⁵⁵	j a o i a o ²¹³ f a n ²¹³ l ɛ ⁵⁵		376	382	j a o i a o ²¹³ f a n ²¹³ l ɛ - ⁵⁵	C V V V V V T C V C T C V T
1358	Jinan	beggar	要饭的	jɔ²¹fã²¹ti	j ɔ ²¹ f ã ²¹ t i		376	382	j ɔ - - - - ²¹ f ã - ²¹ t i - -	C V T C V T C V
1367	Taiyuan	beggar	要饭的	jawiau⁴⁵fæ̃⁴⁵təʔ	j a w i a u ⁴⁵ f æ̃ ⁴⁵ t ə ʔ		376	382	j a w i a u ⁴⁵ f æ̃ - ⁴⁵ t ə ʔ -	C V C V V V T C V T C V C
1371	Beijing	beggar	叫花子	ʨjɑwiɑu⁵¹xwa⁵⁵ʦɿ²	tɕ j ɑ w i ɑ u ⁵¹ x w a ⁵⁵ ts ɿ ²		794	712	tɕ j ɑ w i ɑ u ⁵¹ x w a - - ⁵⁵ ts ɿ - ²	C C V C V V V T C C V T C V T
1363	Chengdu	beggar	叫花子	ʨjawiau¹³xwa⁵⁵ʦɿ⁵³	tɕ j a w i a u ¹³ x w a ⁵⁵ ts ɿ ⁵³		794	712	tɕ j a w i a u ¹³ x w a - - ⁵⁵ ts ɿ - ⁵³	C C V C V V V T C C V T C V T
1357	Hefei	beggar	叫花子	ʨjɔ⁵³xwa²¹ʦə	tɕ j ɔ ⁵³ x w a ²¹ ts ə		794	712	tɕ j ɔ - - - - ⁵³ x w a - - ²¹ ts ə - -	C C V T C C V T C V
1359	Jinan	beggar	叫花子	ʨjɔ²¹xwaʦɿ	tɕ j ɔ ²¹ x w a ts ɿ		794	712	tɕ j ɔ - - - - ²¹ x w a ts ɿ - - - - -	C C V T C C V C V
1372	Kunming	beggar	花子	xwᴀ⁴⁴ʦɿ⁵³	x w ᴀ/a̱ ⁴⁴ ts ɿ ⁵³		794	712	- - - - - - - - x w ᴀ/a̱ - - ⁴⁴ ts ɿ - ⁵³	C C V T C V T
1368	Taiyuan	beggar	叫花子	ʨjawiau⁴⁵xwa¹¹ʦəʔ	tɕ j a w i a u ⁴⁵ x w a ¹¹ ts ə ʔ		794	712	tɕ j a w i a u ⁴⁵ x w a - - ¹¹ ts ə ʔ -	C C V C V V V T C C V T C V C
179	Changsha	blow	起风	ʨʰi⁴¹xoŋ³³	tɕʰ i ⁴¹ x o ŋ ³³		833	747	tɕʰ i ⁴¹ x o ŋ ³³	C V T C V C T
191	Chengdu	blow	起风	ʨʰi⁵³foŋ⁵⁵	tɕʰ i ⁵³ f o ŋ ⁵⁵		833	747	tɕʰ i ⁵³ f o ŋ ⁵⁵	C V T C V C T
185	Hangzhou	blow	起风	ʨʰi⁵³foŋ³³	tɕʰ i ⁵³ f o ŋ ³³		833	747	tɕʰ i ⁵³ f o ŋ ³³	C V T C V C T
183	Hefei	blow	起风	ʦʰɿ²⁴fəŋ²¹	tsʰ ɿ ²⁴ f ə ŋ ²¹		833	747	tsʰ ɿ ²⁴ f ə ŋ ²¹	C V T C V C T
198	Kunming	blow	起风	ʨʰi⁵³foŋ⁴⁴	tɕʰ i ⁵³ f o ŋ ⁴⁴		833	747	tɕʰ i ⁵³ f o ŋ ⁴⁴	C V T C V C T
178	Meixian	blow	起风	hi³¹fuŋ⁴⁴	h i ³¹ f u ŋ ⁴⁴		833	747	h i ³¹ f u ŋ ⁴⁴	C V T C V C T
189	Nanchang	blow	起风	ʨʰi²¹³fuŋ⁴²	tɕʰ i ²¹³ f u ŋ ⁴²		833	747	tɕʰ i ²¹³ f u ŋ ⁴²	C V T C V C T
199	Shanghai	blow	起风	ʨʰi³⁵foŋ⁵³	tɕʰ i ³⁵ f o ŋ ⁵³		833	747	tɕʰ i ³⁵ f o ŋ ⁵³	C V T C V C T
194	Shexian	blow	起风	ʨʰi³⁵fʌ̃³¹	tɕʰ i ³⁵ f ʌ̃ ³¹		833	747	tɕʰ i ³⁵ f ʌ̃ - ³¹	C V T C V T
182	Xiamen	blow	起风	kʰi⁵³hɔŋ⁵⁵	kʰ i ⁵³ h ɔ ŋ ⁵⁵		833	747	kʰ i ⁵³ h ɔ ŋ ⁵⁵	C V T C V C T
196	Beijing	blow	刮风	kwa⁵⁵fəŋ⁵⁵	k w a ⁵⁵ f ə ŋ ⁵⁵		192	232	k w a - ⁵⁵ f ə ŋ ⁵⁵	C C V T C V C T
190	Chengdu	blow	刮风	kwa³¹foŋ⁵⁵	k w a ³¹ f o ŋ ⁵⁵		192	232	k w a - ³¹ f o ŋ ⁵⁵	C C V T C V C T
186	Hangzhou	blow	刮风	kwɑʔ⁵foŋ³³	k w ɑ ʔ ⁵ f o ŋ ³³		192	232	k w ɑ ʔ ⁵ f o ŋ ³³	C C V C T C V C T
