ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG	COGID	ALIGNMENT	STRUCTURE	ORIGINAL_ALIGNMENT	ORIGINAL_TOKENS	ORIGINAL_STRUCTURE
295	blagar	(coral) reef	tómu	tómu	t o m u		1_coralreef-0	708	t o m u	C V C V	- - - - t o m u	t o m u	C V C V
303	klon	(coral) reef	muru tomu/mur tom	muru tomu	t o m u		1_coralreef-0	708	t o m u	C V C V	m u r u t o m u	m u r u t o m u	C V C V C V C V
293	teiwa	(coral) reef	tumu	tumu	t u m u		1_coralreef-0	708	t u m u	C V C V	- - - - t u m u	t u m u	C V C V
1429	abui	arm	tatang	tatang	t a t a ŋ		9_arm-0	2370	t a - t a ŋ	C V C V C	t a - t a ŋ	t a t a ŋ	C V C V C
1437	adang	arm	nataŋ	nataŋ	n a t a ŋ		9_arm-0	2370	n a - t a ŋ	C V C V C	n a - t a ŋ	n a t a ŋ	C V C V C
1431	blagar	arm	tataŋ	tataŋ	t a t a ŋ		9_arm-0	2370	t a - t a ŋ	C V C V C	t a - t a ŋ	t a t a ŋ	C V C V C
1434	kaera	arm	tatang	tatang	t a t a ŋ		9_arm-0	2370	t a - t a ŋ	C V C V C	t a - t a ŋ	t a t a ŋ	C V C V C
1432	kamang	arm	-tang	-tang	t a ŋ		9_arm-0	2370	- - - t a ŋ	C V C	- - - t a ŋ	t a ŋ	C V C
1440	klon	arm	gtan	gtan	g t a n		9_arm-0	2370	g - - t a n	C C V C	g - - t a n	g t a n	C C V C
1436	kui	arm	ta-tan	ta-tan	t a t a n		9_arm-0	2370	t a - t a n	C V C V C	t a - t a n	t a t a n	C V C V C
1439	nedebang	arm	gatang	gatang	g a t a ŋ		9_arm-0	2370	g a - t a ŋ	C V C V C	g a - t a ŋ	g a t a ŋ	C V C V C
1430	protoalorpantar	arm	-tang	-tang	t a ŋ		9_arm-0	2370	- - - t a ŋ	C V C	- - - t a ŋ	t a ŋ	C V C
1438	sawila	arm	gataŋ	gataŋ	g a t a ŋ		9_arm-0	2370	g a - t a ŋ	C V C V C	g a - t a ŋ	g a t a ŋ	C V C V C
1428	teiwa	arm	gətan	gətan	g ə t a n		9_arm-0	2370	g ə - t a n	C V C V C	g ə - t a n	g ə t a n	C V C V C
1433	wersing	arm	neteng	neteng	n e t e ŋ		9_arm-0	2370	n e - t e ŋ	C V C V C	n e - t e ŋ	n e t e ŋ	C V C V C
1435	westernpantar	arm	nattang	nattang	n a t t a ŋ		9_arm-0	2370	n a t t a ŋ	C V C C V C	n a t t a ŋ	n a t t a ŋ	C V C C V C
458	blagar	arrow	bulít	bulít	b u l i t		10_arrow-0	39	b u - - l - - i t	C V C V C	b u - - l - - i t	b u l i t	C V C V C
461	kaera	arrow	qulubit	qulubit	q u l u b i t		10_arrow-0	39	q u - - l u b i t	C V C V C V C	q u - - l u b i t	q u l u b i t	C V C V C V C
