ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	ALIGNMENT	STRUCTURE	ORIGINAL_ALIGNMENT	ORIGINAL_TOKENS	ORIGINAL_STRUCTURE
7302	Anuta	Eight	varu	varu	v a r u	eight	663	v a r u	C V C V	v a r u	v a r u	C V C V
3534	EastFutuna	Eight	valu	valu	v a l u		663	v a l u	C V C V	v a l u	v a l u	C V C V
248	EastUvea	Eight	valu	valu	v a l u	Pollex 06: Valu. :Eight.	663	v a l u	C V C V	v a l u	v a l u	C V C V
1385	Emae	Eight	βaru	βaru	β a r u		663	β a r u	C V C V	β a r u	β a r u	C V C V
5268	FutunaAniwa	Eight	varu	varu	v a r u	Pollex 06: Varu. :Eight.	663	v a r u	C V C V	v a r u	v a r u	C V C V
5513	Hawaiian	Eight	walu	walu	w a l u	Pollex 06: Walu. :Eight.	663	w a l u	C V C V	w a l u	w a l u	C V C V
937	Kapingamarangi	Eight	walu	walu	w a l u	Pollex 06: Walu. :Eight (Lbr).	663	w a l u	C V C V	w a l u	w a l u	C V C V
2080	Luangiua	Eight	valu	valu	v a l u	Pollex 06: Valu. :Eight.	663	v a l u	C V C V	v a l u	v a l u	C V C V
1830	Mangareva	Eight	varu	varu	v a r u		663	v a r u	C V C V	v a r u	v a r u	C V C V
713	Maori	Eight	waru	waru	w a r u		663	w a r u	C V C V	w a r u	w a r u	C V C V
4121	MeleFila	Eight	eβaru	eβaru	β a r u		663	β a r u	C V C V	β a r u	β a r u	C V C V
4771	Niuean	Eight	valu	valu	v a l u	Pollex 06: Valu. :Eight.	663	v a l u	C V C V	v a l u	v a l u	C V C V
3246	NorthMarquesan	Eight	va'u	va'u	v a ʔ u	used on Nuku Hiva currently	663	v a ʔ u	C V C V	v a ʔ u	v a ʔ u	C V C V
6248	Nukeria	Eight	varu	varu	v a r u		663	v a r u	C V C V	v a r u	v a r u	C V C V
6042	Penrhyn	Eight	varu	varu	v a r u	Pollex 06: Varu. :Eight	663	v a r u	C V C V	v a r u	v a r u	C V C V
3819	Pukapuka	Eight	valu	valu	v a l u		663	v a l u	C V C V	v a l u	v a l u	C V C V
4315	Raivavae	Eight	vaGu	vaGu	v a ɢ u		663	v a ɢ u	C V C V	v a ɢ u	v a ɢ u	C V C V
1578	Rapanui	Eight	va'u	va'u	v a ʔ u		663	v a ʔ u	C V C V	v a ʔ u	v a ʔ u	C V C V
7305	Anuta	Five	nima	nima	n i m a	Five, hand-arm (Fbg) B.[>].(Source: Pollex)	2	n i m a	C V C V	- n i m a	n i m a	C V C V
3537	EastFutuna	Five	lima	lima	l i m a	Five, hand.(Source: Pollex)	2	l i m a	C V C V	- l i m a	l i m a	C V C V
251	EastUvea	Five	nima	nima	n i m a	Main, bras, cinq (Rch)[>].(Source: Pollex), Loan (Pawley 2010)	2	n i m a	C V C V	- n i m a	n i m a	C V C V
1388	Emae	Five	rima	rima	r i m a		2	r i m a	C V C V	- r i m a	r i m a	C V C V
5270	FutunaAniwa	Five	rima	rima	r i m a	Five, hand-arm.(Source: Pollex)	2	r i m a	C V C V	- r i m a	r i m a	C V C V
5516	Hawaiian	Five	lima	lima	l i m a	Five, hand.(Source: Pollex)	2	l i m a	C V C V	- l i m a	l i m a	C V C V
939	Kapingamarangi	Five	lima	lima	l i m a	Five, hand n (Ebt).(Source: Pollex 2006)	2	l i m a	C V C V	- l i m a	l i m a	C V C V
2083	Luangiua	Five	lima	lima	l i m a	Five, hand-arm.(Source: Pollex)	2	l i m a	C V C V	- l i m a	l i m a	C V C V
