ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG	COGID	ALIGNMENT	STRUCTURE	ORIGINAL_ALIGNMENT	ORIGINAL_TOKENS	ORIGINAL_STRUCTURE
782	jugankhanty	I	mæː	m.æː	m æː		82	224	m æː	C V	- m æː -	m æː	C V
787	kazymkhanty	I	maː	m.aː	m aː		82	224	m aː	C V	- m aː -	m aː	C V
784	kondakhanty	I	mæn	m.æ.n	m æ		82	224	m æ	C V	- m æ n	m æ n	C V C
777	kondamansi	I	ɔm	ɔ.m	m		82	224	m -	C	ɔ m - -	ɔ m	V C
775	lowerlozvamansi	I	am	a.m	m		82	224	m -	C	a m - -	a m	V C
774	middlelozvamansi	I	æm	æ.m	m		82	224	m -	C	æ m - -	æ m	V C
785	nizjamkhanty	I	maː	m.aː	m aː		82	224	m aː	C V	- m aː -	m aː	C V
773	northmansi	I	am	a.m	m		82	224	m -	C	a m - -	a m	V C
789	obdorskkhanty	I	mæː	m.æː	m æː		82	224	m æː	C V	- m æː -	m æː	C V
776	pelymkamansi	I	ɔm	ɔ.m	m		82	224	m -	C	ɔ m - -	ɔ m	V C
786	sherkalykhanty	I	maː	m.aː	m aː		82	224	m aː	C V	- m aː -	m aː	C V
788	synjakhanty	I	maː	m.aː	m aː		82	224	m aː	C V	- m aː -	m aː	C V
778	tavdamansi	I	æm	æ.m	m		82	224	m -	C	æ m - -	æ m	V C
781	tremjugankhanty	I	mæː	m.æː	m æː		82	224	m æː	C V	- m æː -	m æː	C V
783	upperdemjankakhanty	I	mæːn	m.æː.n	m æː		82	224	m æː	C V	- m æː n	m æː n	C V C
779	vakhkhanty	I	mæː	m.æː	m æː		82	224	m æː	C V	- m æː -	m æː	C V
780	vasjugankhanty	I	mæː	m.æː	m æː		82	224	m æː	C V	- m æː -	m æː	C V
5	kondamansi	all	soq	s.o.q	s o q		2	121	s o q	C V C	s o q	s o q	C V C
3	lowerlozvamansi	all	ʃaq	ʃ.a.q	ʃ a q		2	121	ʃ a q	C V C	ʃ a q	ʃ a q	C V C
4	pelymkamansi	all	ʃoq	ʃ.o.q	ʃ o q		2	121	ʃ o q	C V C	ʃ o q	ʃ o q	C V C
6	tavdamansi	all	ʃɔχ	ʃ.ɔ.χ	ʃ ɔ χ		2	121	ʃ ɔ χ	C V C	ʃ ɔ χ	ʃ ɔ χ	C V C
13	jugankhanty	all	ejnæːm	e.j.n.æː.m	e j n æː m		3	168	e j n æː m	V C C V C	e j n æː m	e j n æː m	V C C V C
10	likrisovskojekhanty	all	ejnæːm	e.j.n.æː.m	e j n æː m		3	168	e j n æː m	V C C V C	e j n æː m	e j n æː m	V C C V C
11	malyjjugankhanty	all	ejnæːm	e.j.n.æː.m	e j n æː m		3	168	e j n æː m	V C C V C	e j n æː m	e j n æː m	V C C V C
12	tremjugankhanty	all	ejnæːm	e.j.n.æː.m	e j n æː m		3	168	e j n æː m	V C C V C	e j n æː m	e j n æː m	V C C V C
7	vakhkhanty	all	ejnæːm	e.j.n.æː.m	e j n æː m		3	168	e j n æː m	V C C V C	e j n æː m	e j n æː m	V C C V C
9	vartovskojekhanty	all	ejnæːm	e.j.n.æː.m	e j n æː m		3	168	e j n æː m	V C C V C	e j n æː m	e j n æː m	V C C V C
8	verkhnekalymskkhanty	all	ejnæːm	e.j.n.æː.m	e j n æː m		3	168	e j n æː m	V C C V C	e j n æː m	e j n æː m	V C C V C
18	kazymkhanty	all	isaː	i.s.aː	i s aː		6	199	i s - - aː	V C V	i s - - aː -	i s aː	V C V
16	nizjamkhanty	all	isaχaːt	i.s.a.χ.aː.t	i s a χ aː		6	199	i s a χ aː	V C V C V	i s a χ aː t	i s a χ aː t	V C V C V C
17	sherkalykhanty	all	isaːt	i.s.aː.t	i s aː		6	199	i s - - aː	V C V	i s - - aː t	i s aː t	V C V C
19	synjakhanty	all	isaː	i.s.aː	i s aː		6	199	i s - - aː	V C V	i s - - aː -	i s aː	V C V
30	kondakhanty	ashes	χoːjəm	χ.oː.j.ə.m	χ oː j ə m		8	221	χ oː j ə m	C V C V C	χ oː j ə m	χ oː j ə m	C V C V C
23	kondamansi	ashes	quʎəm	q.u.ʎ.ə.m	q u ʎ ə m		8	221	q u ʎ ə m	C V C V C	q u ʎ ə m	q u ʎ ə m	C V C V C
22	lowerlozvamansi	ashes	quʎəm	q.u.ʎ.ə.m	q u ʎ ə m		8	221	q u ʎ ə m	C V C V C	q u ʎ ə m	q u ʎ ə m	C V C V C
21	middlelozvamansi	ashes	quʎəm	q.u.ʎ.ə.m	q u ʎ ə m		8	221	q u ʎ ə m	C V C V C	q u ʎ ə m	q u ʎ ə m	C V C V C
31	nizjamkhanty	ashes	χɔːjəm	χ.ɔː.j.ə.m	χ ɔː j ə m		8	221	χ ɔː j ə m	C V C V C	χ ɔː j ə m	χ ɔː j ə m	C V C V C
20	northmansi	ashes	χuʎəm	χ.u.ʎ.ə.m	χ u ʎ ə m		8	221	χ u ʎ ə m	C V C V C	χ u ʎ ə m	χ u ʎ ə m	C V C V C
32	sherkalykhanty	ashes	χɔːjəm	χ.ɔː.j.ə.m	χ ɔː j ə m		8	221	χ ɔː j ə m	C V C V C	χ ɔː j ə m	χ ɔː j ə m	C V C V C
24	tavdamansi	ashes	qoːʎəm	q.oː.ʎ.ə.m	q oː ʎ ə m		8	221	q oː ʎ ə m	C V C V C	q oː ʎ ə m	q oː ʎ ə m	C V C V C
29	upperdemjankakhanty	ashes	χoːjəm	χ.oː.j.ə.m	χ oː j ə m		8	221	χ oː j ə m	C V C V C	χ oː j ə m	χ oː j ə m	C V C V C
28	jugankhanty	ashes	næːjpæːr	n.æː.j.p.æː.r	p æː r		9	232	p æː r	C V C	n æː j p æː r	n æː j p æː r	C V C C V C
27	tremjugankhanty	ashes	næːjpæːr	n.æː.j.p.æː.r	p æː r		9	232	p æː r	C V C	n æː j p æː r	n æː j p æː r	C V C C V C
25	vakhkhanty	ashes	pæːr	p.æː.r	p æː r		9	232	p æː r	C V C	- - - p æː r	p æː r	C V C
26	vasjugankhanty	ashes	pæːr	p.æː.r	p æː r		9	232	p æː r	C V C	- - - p æː r	p æː r	C V C
39	kondamansi	bark	suːl	s.uː.l	s uː l		-10	1	s uː l	C V C	s uː l	s uː l	C V C
37	lowerlozvamansi	bark	sul	s.u.l	s u l		-10	1	s u l	C V C	s u l	s u l	C V C
36	middlelozvamansi	bark	sul	s.u.l	s u l		-10	1	s u l	C V C	s u l	s u l	C V C
35	northmansi	bark	sul	s.u.l	s u l		-10	1	s u l	C V C	s u l	s u l	C V C
38	pelymkamansi	bark	sul	s.u.l	s u l		-10	1	s u l	C V C	s u l	s u l	C V C
40	tavdamansi	bark	su	s.u	s u		-10	1	s u -	C V	s u -	s u	C V
47	jugankhanty	bark	kæːr	k.æː.r	k æː r		11	24	k æː r	C V C	k æː r	k æː r	C V C
51	kazymkhanty	bark	kaːr	k.aː.r	k aː r		11	24	k aː r	C V C	k aː r	k aː r	C V C
49	kondakhanty	bark	kæːr	k.æː.r	k æː r		11	24	k æː r	C V C	k æː r	k æː r	C V C
44	likrisovskojekhanty	bark	kæːr	k.æː.r	k æː r		11	24	k æː r	C V C	k æː r	k æː r	C V C
45	malyjjugankhanty	bark	kæːr	k.æː.r	k æː r		11	24	k æː r	C V C	k æː r	k æː r	C V C
50	nizjamkhanty	bark	kaːr	k.aː.r	k aː r		11	24	k aː r	C V C	k aː r	k aː r	C V C
52	obdorskkhanty	bark	kæːr	k.æː.r	k æː r		11	24	k æː r	C V C	k æː r	k æː r	C V C
46	tremjugankhanty	bark	kæːr	k.æː.r	k æː r		11	24	k æː r	C V C	k æː r	k æː r	C V C
48	upperdemjankakhanty	bark	kæːr	k.æː.r	k æː r		11	24	k æː r	C V C	k æː r	k æː r	C V C
41	vakhkhanty	bark	kæːr	k.æː.r	k æː r		11	24	k æː r	C V C	k æː r	k æː r	C V C
43	vasjugankhanty	bark	kæːr	k.æː.r	k æː r		11	24	k æː r	C V C	k æː r	k æː r	C V C
42	verkhnekalymskkhanty	bark	kæːr	k.æː.r	k æː r		11	24	k æː r	C V C	k æː r	k æː r	C V C
74	middlelozvamansi	belly	sɔr	s.ɔ.r	s ɔ r		12	35	s ɔ r -	C V C	s ɔ r - -	s ɔ r	C V C
73	northmansi	belly	sorɨɣ	s.o.r.ɨ.ɣ	s o r ɨ		12	35	s o r ɨ	C V C V	s o r ɨ ɣ	s o r ɨ ɣ	C V C V C
75	pelymkamansi	belly	sori	s.o.r.i	s o r i		12	35	s o r i	C V C V	s o r i -	s o r i	C V C V
83	jugankhanty	belly	kon	k.o.n	k o n		13	46	k o n	C V C	k o n	k o n	C V C
88	kazymkhanty	belly	χoɳ	χ.o.ɳ	χ o ɳ		13	46	χ o ɳ	C V C	χ o ɳ	χ o ɳ	C V C
85	kondakhanty	belly	χon	χ.o.n	χ o n		13	46	χ o n	C V C	χ o n	χ o n	C V C
80	likrisovskojekhanty	belly	koɳ	k.o.ɳ	k o ɳ		13	46	k o ɳ	C V C	k o ɳ	k o ɳ	C V C
81	malyjjugankhanty	belly	kon	k.o.n	k o n		13	46	k o n	C V C	k o n	k o n	C V C
86	nizjamkhanty	belly	χon	χ.o.n	χ o n		13	46	χ o n	C V C	χ o n	χ o n	C V C
90	obdorskkhanty	belly	χon	χ.o.n	χ o n		13	46	χ o n	C V C	χ o n	χ o n	C V C
87	sherkalykhanty	belly	χon	χ.o.n	χ o n		13	46	χ o n	C V C	χ o n	χ o n	C V C
89	synjakhanty	belly	χoɳ	χ.o.ɳ	χ o ɳ		13	46	χ o ɳ	C V C	χ o ɳ	χ o ɳ	C V C
82	tremjugankhanty	belly	koɳ	k.o.ɳ	k o ɳ		13	46	k o ɳ	C V C	k o ɳ	k o ɳ	C V C
76	vakhkhanty	belly	koɳ	k.o.ɳ	k o ɳ		13	46	k o ɳ	C V C	k o ɳ	k o ɳ	C V C
